NEIGHBOURHOOD,proportion
Arbutus Ridge,0.024157565
Central Business District,0.097972786
Dunbar-Southlands,0.033839544
Fairview,0.053100839
Grandview-Woodland,0.04608022
Hastings-Sunrise,0.054609207
Kensington-Cedar Cottage,0.077905976
Kerrisdale,0.022072702
Killarney,0.046317136
Kitsilano,0.06798708
Marpole,0.038633151
Mount Pleasant,0.052050511
Oakridge,0.020580129
Renfrew-Collingwood,0.081388645
Riley Park,0.035624314
Shaughnessy,0.013314696
South Cambie,0.012588153
Strathcona,0.019877277
Sunset,0.057649632
Victoria-Fraserview,0.049065365
West End,0.074549662
West Point Grey,0.02063541
